,negative,positive
gals,4,7
overheating,1,0
paranoid,13,18
apparitions,1,1
cooking,10,20
simmering,1,2
unknowingly,3,7
dwelling,3,5
compound,8,8
fracture,1,1
smartly,3,5
breathtaking,10,75
sequoia,1,0
tower,14,22
slashers,17,8
preyed,2,0
increases,3,6
smell,9,12
providing,21,38
discovering,12,23
reacting,4,6
accordingly,9,1
punish,5,5
refrigerator,6,0
repairman,1,1
interacting,2,9
pa,4,5
uncontrollably,4,1
blowing,28,20
yourselves,10,3
unfamiliar,8,20
echo,12,10
tattered,2,2
grisly,6,8
penetration,2,1
unsettled,3,2
silhouetted,2,1
formation,8,5
skinning,1,1
steaming,18,0
everseen,1,0
dragged,48,26
chock,12,14
appallingly,13,1
ustinov,14,43
plotted,9,14
fleischer,3,3
drafting,1,0
lynches,1,0
immoral,7,6
peaks,10,19
pedophilia,6,1
romantically,2,3
phenomena,3,3
mans,7,10
fallowed,1,0
rants,9,0
define,11,24
imitating,10,10
inspire,16,21
swollen,1,0
listed,38,21
shops,5,5
criminalthe,1,0
promises,19,25
cunningly,3,2
vipco,2,0
breats,1,0
titillation,6,0
naffness,1,0
watcher,14,7
fervent,1,4
hartley,9,54
supporter,4,3
unmoored,1,0
searingly,1,0
expeditious,1,0
fay,12,37
devolves,3,0
intellectualism,3,0
unwarranted,3,2
unwanted,5,5
frivolous,2,2
hogging,3,0
goldblum,22,22
fulbright,1,3
bombing,9,13
tonally,1,0
angus,3,5
ned,27,80
fates,4,3
busying,1,0
godawful,4,0
canted,3,1
disconcerting,3,2
revel,7,4
messiness,1,1
indulgently,1,1
crams,1,2
typically,31,31
hipster,2,0
uglier,4,1
meaner,2,1
las,11,21
vegas,21,28
disregarding,1,2
suspend,14,20
ferrell,18,13
emma,29,97
rang,8,6
mortality,2,9
literary,16,14
dustin,9,22
majors,5,2
gyllenhaal,3,12
ax,12,4
leap,12,12
endearing,24,47
debated,1,1
undermined,5,4
apt,9,10
betrayal,14,27
zack,4,8
helm,11,9
unfaithful,5,5
doubly,4,3
proportional,2,1
incidentally,12,16
slipping,4,4
tirade,2,1
renders,3,9
incapable,12,10
forethought,1,0
paragraph,17,7
reasoned,3,2
narcotic,2,1
stirs,2,5
voltron,1,1
rudderless,1,1
squander,3,2
pompous,7,13
trivial,15,10
masturbation,11,2
fulfilled,5,8
myriad,10,4
terminal,11,4
keenly,2,3
smarter,9,7
survey,3,4
jargon,4,1
piled,7,2
supplied,5,8
willem,13,3
dafoe,27,3
antique,2,2
stormare,4,5
sociopath,10,10
reemergence,1,0
unforgivably,2,0
carl,23,32
differentiate,2,3
parentheses,1,0
despised,6,5
harm,23,20
paralysis,1,1
herpes,1,0
digression,2,0
subsided,1,0
cleared,3,2
investing,2,1
startlingly,2,1
suicidally,2,0
heaving,5,1
slumbering,1,0
maoist,3,0
daytime,8,7
yuwen,1,1
fading,3,12
gong,5,5
scowl,3,0
tian,3,2
zhuangzhuang,2,0
kite,5,1
springtime,2,2
upheaval,1,3
insubstantial,2,3
greats,7,9
riped,2,1
unpatriotic,1,0
dutta,2,0
lagaan,1,2
battalion,3,2
squadron,1,3
skirmishes,1,1
loneliness,4,35
lovesickness,1,0
chummy,1,2
forthcoming,5,7
lions,5,7
sympathy,58,37
unmindful,1,0
cocksure,1,0
melodious,1,4
soulful,3,9
seasoned,11,17
veterans,7,21
sanjay,4,2
dutt,2,1
newbies,2,3
abhishek,2,0
akshaye,10,7
khanna,8,8
manoj,3,5
bajpai,2,4
ashutosh,1,0
rana,1,0
ranged,5,0
madhuri,2,2
pakistan,6,3
se,16,23
zyada,1,0
musalman,1,1
hindusthan,1,0
mein,3,3
hain,2,2
expletive,3,1
mcs,1,0
bcs,1,0
cs,5,0
loc,6,2
kargil,7,0
brave,43,62
yentl,11,0
studying,17,17
talmud,1,0
avigdor,5,0
hadass,5,0
anschel,5,0
consummated,1,1
improved,36,23
papa,6,1
deliberately,17,24
streisand,26,42
enhanced,5,27
lashes,2,2
traces,5,7
blush,5,1
fooling,5,3
colleagues,12,11
giveaways,1,1
unacceptable,5,3
feminine,11,12
lend,15,22
weakens,3,3
scrapped,2,1
wiser,6,10
respectfully,2,3
bash,6,8
injecting,5,1
glean,4,0
cremator,1,0
blanked,1,0
ck,9,2
willie,16,26
witchdoctor,2,0
straits,2,0
mankind,17,23
polluted,3,3
wasteland,7,8
duplicating,2,1
dna,8,1
pollution,9,8
wirth,9,0
southwestern,1,1
malarkey,3,0
electra,6,3
recklessness,3,1
marbles,1,1
telepathic,3,1
flubs,1,0
utmost,2,12
communicating,6,1
communicates,3,1
vat,2,0
emits,2,0
telepathy,1,1
indication,18,11
lenient,2,1
budgeted,12,6
pleiades,2,0
stargazer,1,0
cluster,3,0
constellations,1,1
perseus,1,0
taurus,1,0
spotlight,7,10
zantara,1,0
skinny,14,7
maslin,1,12
nudist,1,3
lowpoint,2,1
staring,31,14
nah,7,3
topics,13,16
farting,10,2
superlguing,1,0
genitals,8,4
hesitate,5,11
levinson,9,5
rushes,13,6
humiliated,5,12
mogul,4,4
bypassed,1,0
inheritors,1,0
uniformly,9,19
crabs,6,1
cursing,10,4
samurai,33,24
ghosties,1,0
peachy,2,2
syrupy,3,5
parent,31,33
canine,4,4
underestimate,3,1
willpower,2,2
persuasion,8,2
afresh,1,0
aniston,14,7
galore,10,8
carey,6,18
daylight,14,11
essence,20,52
chasey,3,0
lain,2,0
payed,7,3
cent,13,3
scriptwriters,7,1
zapper,1,0
supermarket,5,7
checkout,2,4
hypnotise,2,0
cashier,3,0
cashiers,1,0
divulging,2,0
elmer,8,21
afflicted,6,4
finishes,15,11
weawwy,1,0
awfuwwy,1,0
weg,1,0
wamb,1,0
woodpecker,2,0
clunkers,2,2
proponent,1,2
limit,20,17
pasolini,13,3
jumpiness,1,0
decameron,4,1
disconcert,1,0
admiration,8,15
comprehensible,5,1
intelligentsia,2,0
boldness,3,1
confirming,4,1
endure,24,17
bloodsuckers,5,0
battling,10,9
cheesier,3,0
breeds,1,1
galaxy,11,26
firefly,5,1
serenity,3,3
spurting,3,1
arseholes,1,0
fleshing,4,1
ironside,8,6
hams,11,2
sfx,9,4
scratching,13,7
interrogate,1,0
sock,9,3
puppet,20,20
chestburster,2,0
wtf,20,3
muco,1,0
humming,2,3
supposebly,1,0
backup,5,4
vocals,3,5
whos,6,2
vocalist,2,0
makeing,1,0
cemetary,1,1
admits,6,16
terrorize,7,3
cheezy,5,5
crapped,1,0
maverick,7,10
valuable,20,25
begging,13,13
tasty,6,14
assorted,6,9
cannon,19,28
deary,1,0
avalanche,4,6
gawping,1,0
nicked,1,2
aforesaid,1,0
progressively,6,5
nodded,2,0
mcclane,1,1
ye,6,3
ropey,1,1
ropier,1,0
quid,2,5
astonished,8,10
purchases,1,3
trotting,1,2
georgia,16,11
sturdy,2,3
cornerstones,1,0
bastardization,2,0
shopping,22,16
disfiguring,1,1
dishes,5,5
yogurt,2,0
pauly,3,1
barker,13,6
flashy,21,13
mo,11,6
cheapened,3,1
marilyn,13,11
manson,3,5
smashing,8,8
pumpkins,1,1
placebo,2,0
ted,32,60
kitamura,7,3
romps,2,3
reeked,3,0
amateurism,3,0
silliness,20,19
severely,26,11
badass,3,5
guttedi,1,0
plath,4,1
strays,4,4
poetry,22,20
lazarus,2,0
greenwood,3,4
misused,2,1
hassett,3,0
esther,4,30
covers,20,50
excised,3,3
adele,1,23
poole,2,1
dozed,6,3
platinum,4,3
disc,26,37
corp,3,3
gyp,1,0
animators,8,17
drawing,24,37
kappa,1,0
mikey,3,1
cheep,3,0
messing,20,7
merry,14,10
tenderness,3,15
germanic,1,0
von,19,57
stroheim,6,1
lusting,3,4
permed,1,1
hairstyle,3,6
stung,3,1
sweetness,2,12
franz,4,11
lehar,2,0
tcm,8,19
maurice,6,10
chevalier,1,1
heartbeat,1,1
lied,10,5
reproduced,1,5
austria,2,16
wwi,10,9
pictured,8,6
unreliable,3,0
devastating,5,25
menially,1,0
embraced,8,2
austrians,3,1
reichskanzler,1,0
cannes,22,10
rosetta,8,1
tumbleweeds,1,0
suburban,11,24
revelation,28,46
passgreenaway,1,0
habit,20,14
incest,12,8
purposeless,2,0
greenaway,25,3
prefers,9,11
tricks,24,46
perverse,11,9
perversity,2,2
principally,2,5
isabelle,20,11
huppert,7,4
contribution,9,24
guttenburg,1,0
sensationally,1,2
prowess,4,6
ptsd,1,2
mcgovern,12,0
consolation,5,2
druid,2,0
migraines,3,0
tamara,2,2
dobson,7,1
signature,6,11
chic,5,5
narcotics,1,3
heroin,12,10
pollination,1,1
blaxploitation,4,5
outset,10,6
flags,4,5
assembly,10,8
energetic,7,20
jaded,15,21
villainess,4,1
mclaglen,3,27
spars,1,1
smarmy,12,3
blackman,1,0
pussy,5,4
goldfinger,1,1
stagecoach,3,6
dally,1,0
wastes,20,5
amiable,3,10
lowball,1,0
subjectively,2,2
inexplicable,20,16
characteristic,10,9
postmodern,3,0
brilliance,16,36
secluded,6,10
orgy,12,6
topless,36,9
diaper,6,2
vanload,1,0
latecomers,3,1
unwittingly,6,7
ninja,19,12
precedes,4,4
slay,4,3
oral,7,7
masturbates,3,1
imply,10,0
populated,21,8
noteworthy,9,15
convertible,7,2
vw,2,0
recording,16,22
evp,2,0
recorders,1,0
mhmmm,1,0
indiscriminately,5,2
pictograms,1,0
mn,3,0
mned,1,0
agreement,3,5
warehouse,11,4
raiders,8,12
ark,8,10
swoop,3,1
apologizing,5,2
phases,3,1
yelled,4,3
instructors,3,1
latino,16,4
latinos,3,2
delete,1,2
inexcusable,7,3
isabel,7,6
allende,5,0
deker,1,0
wheel,20,8
repair,5,8
charity,7,9
yea,16,3
aim,23,19
cafeteria,4,6
dumass,1,0
messed,31,17
processor,3,0
investigation,17,36
daring,17,34
feather,2,7
seberg,15,3
widower,6,13
niven,19,17
myl,1,0
ne,5,14
demongeot,3,0
deborah,11,8
nivens,1,0
womanizer,5,2
conquest,6,12
banana,11,7
sunnier,1,1
georges,2,39
rinal,1,0
laurents,1,0
acidic,1,4
closer,36,74
geoffrey,8,7
horne,2,2
suitor,3,4
martita,1,0
juliette,6,21
gr,6,5
saul,1,7
whittaker,1,0
garrigan,3,0
uninformed,2,2
blending,4,11
dishonest,9,6
reprehensible,6,3
rife,4,2
seminal,6,8
amin,14,0
idi,1,0
reattached,1,0
vice,13,23
versa,7,14
gungans,1,0
bom,1,0
dismembered,4,2
reinforce,4,4
westerners,3,4
regime,11,13
exploitative,18,18
tryst,1,3
jerking,7,8
propensity,2,0
akiva,1,0
goldsman,1,0
fakes,2,3
portraits,3,8
sinker,2,2
brutality,15,27
portrayals,9,21
purportedly,6,1
investigating,18,18
incarnate,1,4
fakeness,1,0
tightness,1,1
cardigan,1,0
spandex,6,0
pants,25,18
staggering,5,8
yanks,5,2
colourful,3,12
controversies,2,1
tapdancing,1,0
infectious,2,6
timewarped,1,0
boondocks,1,0
brigadoon,8,1
streed,1,0
lsd,10,3
muscial,1,0
deadlock,1,0
bette,20,71
merrill,5,9
irving,5,14
rapper,10,2
curiously,10,16
restrained,5,27
endmy,1,0
verhoeven,26,40
elisabeth,13,5
shue,11,9
invisibility,11,3
accomplished,19,41
tests,5,5
tensed,2,0
focusing,26,28
fabulous,22,72
hm,3,0
cr,6,0
scan,9,8
brolin,7,2
morse,7,16
laced,13,7
viggo,17,8
mortensen,17,7
earliest,7,11
penn,23,17
modulated,3,0
obtuse,2,3
methodical,4,2
inflection,1,0
photogenic,6,1
siblings,17,22
balky,1,0
slanted,5,1
irritation,7,5
worshiping,4,1
sanitarium,1,5
hardgore,3,0
smut,3,3
satanic,18,8
hugely,14,18
nymphomaniac,3,4
orgies,4,1
dildo,5,0
slit,8,2
elaborated,3,3
virulent,2,2
penises,2,0
intolerably,3,2
sperm,7,1
dildos,1,0
amputated,1,3
reproduction,1,0
organs,13,2
justina,1,0
lynn,7,2
balls,33,16
coscarelly,1,0
sentinel,7,39
spheres,4,1
unraveled,2,3
thenceforward,1,0
nunchaku,1,0
reggie,8,0
bannister,1,3
tailed,1,0
scrimm,1,0
creepiness,8,6
legros,2,0
terrorized,5,4
raft,14,5
campsite,1,0
assembled,8,11
stocked,3,2
headphones,3,6
panic,14,51
elite,13,20
click,14,15
immerse,4,5
gained,10,15
subconscious,3,12
patriotism,7,8
generator,1,5
rivals,9,20
prizes,4,6
priestly,3,2
voyeurs,1,1
humphrey,6,12
bogart,16,20
entertainer,3,5
amateurishly,6,0
giveaway,3,2
shawshank,4,11
megaladon,1,0
abandon,12,12
governs,1,1
accountable,6,0
cohesive,10,7
misfires,4,0
exaggeration,9,9
commentators,6,9
pronounce,6,4
playstation,5,0
lesbians,8,5
bellyaching,1,0
cod,2,5
slapdash,5,0
critical,40,60
decays,1,0
haig,6,0
dreyfuss,16,6
dreufuss,1,0
cowered,1,0
cabinet,5,9
researching,4,8
transcripts,3,1
reenact,1,0
leadership,7,8
irrationally,2,0
demonstrably,1,0
missteps,1,1
regrettable,5,2
enlighten,4,3
inform,13,7
fronts,8,5
ascribe,2,0
vile,15,14
rejoicing,4,1
depravity,7,8
transmogrifies,1,0
handshake,1,1
salesman,20,17
remenber,1,0
prosperous,2,1
filling,20,16
shelves,12,6
pressed,13,9
existing,8,13
lucio,16,5
zombi,34,13
import,4,5
retitled,3,1
letting,37,36
continuing,13,18
eaters,11,2
flippant,3,4
observation,14,15
compounds,3,0
thematic,4,12
compels,5,2
ecological,8,2
overstated,3,3
mor,2,1
scuba,2,2
splinter,5,1
leanings,1,3
fannish,1,0
predilections,1,0
severing,2,0
foetus,3,0
worldwide,7,12
mainetti,1,0
uninspired,40,7
frizzi,1,0
unnervingly,2,1
bonnie,12,11
carnage,11,15
irksome,2,1
acrobatic,4,3
urgency,5,11
ammunition,5,2
stalling,2,2
worms,9,22
sockets,4,1
opts,2,5
rips,19,8
dj,11,23
crass,14,5
bruno,7,20
mattei,11,12
balked,2,0
setback,1,1
splatterish,1,0
disposition,2,4
published,12,17
hrgd,1,0
asin,7,0
vfc,1,0
disk,8,5
ifpi,1,0
rim,1,2
pensylvannia,1,0
sourcei,1,0
llbean,1,0
behaved,12,3
referred,13,26
pigface,1,0
harvard,6,1
beds,10,6
carrel,2,0
misnomered,1,0
nourishment,2,0
greenlight,5,1
grounds,16,14
maturation,2,1
dine,2,4
kernel,1,0
kool,4,3
drifting,8,2
luminescent,1,1
drilling,6,2
rousing,4,15
rewarding,4,24
storytellers,2,1
dailies,3,0
exec,5,4
looming,2,10
farrell,14,28
flavors,2,3
photographing,2,3
wax,10,23
wouldhave,1,0
thirties,15,18
caleb,1,10
deschanel,1,2
desaturate,1,0
grime,1,0
poorness,1,0
mencken,1,1
delve,5,13
sketch,20,13
hou,11,1
hsiao,7,5
hsien,7,0
shu,6,0
qi,6,0
snaggletoothed,1,0
yo,6,7
hitoto,5,0
rockin,4,5
curry,1,5
actriss,1,0
indicator,5,1
mumbling,11,1
limbo,10,2
cafe,4,9
lumiere,8,3
photo,26,20
tokyo,18,14
flabbergasting,1,0
ships,22,18
trains,12,14
connecting,9,5
hurtling,3,0
rarefied,4,3
conversing,5,2
laconic,2,3
jarmusch,8,3
mambo,3,2
odilon,1,0
redon,1,0
arrhythmically,1,0
refine,2,1
bloat,1,0
outwards,1,0
expressionist,4,7
revitalizer,1,0
squandered,9,0
senselessly,1,1
minimalism,4,0
facelessly,1,0
monosyllables,2,0
ghettoized,1,0
stagnant,5,5
aeon,1,1
flux,2,3
surpassed,3,9
begun,12,10
bookstore,5,2
dims,1,0
goblins,2,3
hailed,8,4
gullible,9,4
rotterdam,2,1
venice,11,1
ruse,3,3
atom,1,1
egoyan,1,0
tsai,3,2
liang,3,5
cribbing,2,0
frauds,1,1
deceiver,2,0
frustrated,25,39
suspicion,11,20
blurring,2,3
merkbruce,1,0
artistry,10,22
bombers,8,3
dam,6,12
identification,3,7
separates,3,8
tranquilizers,1,1
determine,12,10
nombre,2,0
achingly,2,7
vilarasau,1,0
beware,19,21
classified,8,7
hereby,1,0
marlon,17,16
wayans,23,1
disguising,2,1
activities,16,26
pursued,19,10
cullinan,1,0
facet,2,3
conquered,3,4
debris,4,3
insert,13,5
shoestring,7,7
miracles,8,15
gesture,7,11
haggerty,3,1
signposting,1,0
honesty,18,33
superficially,3,4
ancestor,10,3
defend,27,27
rambles,1,0
disregarded,6,1
suffocatingly,1,0
rack,13,3
moreinterested,1,0
undress,8,1
mentos,2,0
widespread,2,3
seeks,9,33
sealing,2,0
unexceptional,2,0
unrated,8,7
judged,14,19
objectively,7,6
shaded,1,1
unfairly,5,8
ruben,3,4
contender,4,6
molester,5,1
giardello,4,3
judges,11,9
jewison,1,3
bend,12,23
pics,4,4
heres,4,3
suggestion,19,12
denzel,23,60
sandra,14,43
bullock,5,2
congeniality,2,0
effacing,1,1
floats,3,7
omniscient,3,2
maladjusted,1,1
forensics,2,1
belied,1,0
traced,2,5
vomiting,4,0
janitor,8,13
friction,4,7
intrigues,3,6
tactic,2,4
purported,1,1
waisting,1,0
defense,24,14
facility,13,11
ai,3,7
holographic,2,1
chess,5,51
rook,1,1
pail,1,0
necrotic,1,0
components,8,2
wag,3,0
customers,12,10
sparse,12,8
samberg,8,0
recollect,3,1
randomness,3,2
snl,26,23
turd,37,2
heath,14,7
ledger,11,6
postcard,4,5
medal,6,8
sticking,23,10
groin,7,3
milanese,1,0
underclass,2,3
neorealism,1,4
sica,4,6
centring,1,1
cabbage,3,0
patch,11,7
toto,2,7
shantytown,1,0
milan,3,2
organises,2,0
inhabitants,16,24
swanning,1,0
annoyingly,13,5
tables,9,14
pot,18,18
sublimely,1,4
sods,1,0
illustrate,6,10
miserables,3,0
fountain,5,2
capitalists,6,2
fur,11,13
coats,4,4
cigars,3,3
mathematical,2,2
guardian,13,19
dove,3,5
cigar,8,6
reckon,7,6
hans,6,14
duomo,1,0
broomsticks,1,8
unswerving,1,0
teller,2,11
moh,1,4
amuses,4,6
overlook,16,25
deteriorate,3,2
flees,7,4
tens,8,3
huddling,1,0
warmth,13,35
mailing,2,0
josh,22,13
pollack,15,7
doe,4,2
lazerov,6,1
pissible,1,0
sizzle,1,2
macmurray,6,18
dicky,1,1
anklet,1,0
bracelet,1,7
ciggy,1,0
fingertip,1,1
mortified,2,1
rightly,7,14
burping,1,1
upchucking,1,0
garloupis,1,0
offence,5,3
sighted,2,3
amuck,1,1
dietrichson,2,0
plaid,2,0
crikey,2,0
marina,11,5
masochist,7,0
alka,1,1
seltzer,1,1
effortless,5,7
assignments,2,4
keifer,1,2
sutherland,31,51
sneaking,9,10
tapping,3,6
systems,16,10
disappoint,14,32
disabilitieswarning,1,0
scoop,4,24
fluke,7,1
jackman,16,10
misogyny,7,3
fixation,4,2
granddaughter,5,13
crippled,9,19
fluffy,6,4
scarlett,5,18
johansson,8,16
tarot,3,2
prostitutes,5,7
magician,9,19
leaden,5,0
unreported,1,2
septuagenarian,1,0
euphemism,3,2
slam,11,13
bam,3,9
cheapens,1,0
tight,23,66
imitates,2,2
function,20,15
heroines,5,11
oklahoma,6,6
suave,7,13
grasp,21,30
passive,8,11
aggressive,16,13
deprives,1,0
greenhouse,4,2
wilting,1,0
pricked,1,1
spits,5,2
larva,1,0
resuscitate,2,0
paddles,2,1
entomologist,1,1
brats,5,0
specimen,2,2
hormone,3,1
critter,5,3
bishop,6,7
sigourney,5,6
weaver,9,14
leonard,47,26
poet,11,12
musician,13,28
heritage,2,7
reflections,4,7
humble,15,25
converse,3,4
jarvis,9,0
cocker,2,0
beth,17,7
orton,2,1
rufus,6,4
wainrights,1,0
interpretations,6,17
bono,4,2
registration,2,6
montage,29,30
extramural,1,0
recalls,4,10
associations,3,2
punksters,1,0
dirth,1,0
served,44,32
growingly,1,0
increased,10,6
harrowing,7,14
unaffected,2,2
diligently,1,1
awaited,6,5
dozing,2,0
studliest,1,0
archietecture,1,0
abodes,1,0
morbidly,4,2
malicious,7,4
contriving,1,1
discrepancy,4,0
normandy,1,1
rehearsed,3,5
arbitrariness,1,0
quaint,9,11
glaringly,6,3
nuristanis,1,0
forceful,2,5
abdul,2,0
rahman,1,0
shah,4,10
aghnaistan,1,0
nomads,4,1
aryan,2,5
invasions,5,3
milenia,1,0
tehran,3,3
geography,8,3
strikingly,5,15
predominates,1,1
persian,5,1
arabic,9,6
hadha,1,0
rujal,1,0
mard,7,0
nist,1,0
quran,3,0
ferdos,2,0
jehaan,2,0
cognates,1,0
respectively,13,36
jehennan,1,0
iranian,2,27
tents,5,1
carpets,1,0
decorating,1,2
profile,13,10
cleric,1,0
greeting,2,4
ahlan,1,0
wa,1,2
sahlan,1,0
kabul,1,0
arid,2,2
hindu,5,3
kush,1,0
absence,27,33
scrub,8,0
spring,15,48
limiting,3,2
nuristan,1,0
levant,3,14
misnamed,1,0
eliminates,7,4
portions,10,10
unsurprisingly,6,2
emphasizing,3,4
lined,6,6
darkwolf,9,3
civilians,11,10
arsenal,1,2
submachine,2,0
clincher,2,0
stripper,15,7
flashing,12,6
slavery,12,17
indies,4,4
puddy,1,0
seinfeld,8,11
warburton,4,3
noticeably,8,8
slimmer,1,0
bidding,3,2
eartha,2,2
kitt,4,2
bordello,2,0
standoff,1,1
trend,15,18
animator,10,8
wagon,7,12
townspeople,7,8
grinning,3,8
consumingly,1,0
lapse,4,2
carved,2,2
rebuilt,2,4
albertson,2,1
mortician,3,0
ambulance,5,3
hearse,4,2
dorcey,1,0
undead,18,17
slicing,6,5
needles,4,1
hg,4,0
lewis,45,92
delineation,1,0
eroded,1,0
emitted,1,1
audible,7,2
hauled,4,2
removal,2,4
hodes,1,0
loyalty,11,28
bets,8,12
preaching,9,10
landlady,3,8
horns,5,6
herein,9,4
solved,15,7
mysteries,13,36
boooring,1,0
recycling,6,0
benefits,4,17
anatomy,8,6
sidenote,2,0
mozart,1,1
requiem,6,1
phd,3,2
entangled,3,4
meredith,10,14
rainy,15,13
seattle,13,11
fling,7,10
shonda,1,0
rhimes,1,0
coed,1,1
od,3,0
comatose,9,5
kirshner,2,0
divas,2,0
gilligan,13,10
reruns,7,10
reuniting,3,2
casts,12,19
recapturing,2,1
munsters,4,3
comedienne,3,6
cameos,35,46
recasting,1,0
rewriting,5,0
underused,6,8
imogene,2,0
coca,6,1
hillbillies,3,10
munster,2,0
figures,29,70
revival,12,15
decarlo,1,0
dining,10,3
everingham,2,0
reader,23,18
digest,11,6
landon,4,0
license,11,11
puss,2,6
landons,1,0
morales,1,8
stillers,1,0
vaughns,1,0
jog,3,1
humoured,1,2
bless,5,11
foist,2,1
anniston,2,0
opposites,1,6
hank,11,35
azaria,4,10
seymore,1,0
splendor,3,5
andthey,1,0
airplanes,7,2
busts,2,6
kitten,10,2
natividad,2,0
pub,6,6
breast,16,9
panacea,2,0
ills,2,3
giver,2,1
haji,4,0
croix,2,0
antithesis,3,8
bubba,1,19
forrest,11,16
ackerman,2,0
affectionately,3,2
outdone,1,6
incorporated,4,12
blunder,1,0
shhhhh,1,0
underwater,11,18
cape,26,7
flapping,4,0
breeze,5,5
tiness,1,0
stun,2,0
fermented,1,0
beverages,2,1
waynoif,1,0
furbies,1,0
groteque,1,0
indulge,5,11
penchant,6,9
erotica,6,2
arouse,4,1
hinglish,2,0
overkill,3,4
swoon,3,3
yash,9,2
sigh,9,10
push,30,34
sado,3,2
masochists,4,0
barbed,2,7
wire,13,15
silas,1,1
piraters,1,0
barnacles,1,0
plankton,1,0
algae,2,0
afterthought,9,3
choreographer,6,8
coordinator,3,0
bubonic,2,3
statutory,1,0
injurious,1,0
kareena,16,0
mera,2,2
dil,4,2
kho,1,0
gaya,1,0
chaliya,3,0
im,29,22
vagabond,1,0
tashan,17,0
rubrics,1,0
woot,1,0
gimme,3,2
shazbot,1,0
dalmatians,5,7
juicy,5,8
promoting,13,4
disnefluff,1,0
martian,13,15
whew,3,3
agonizing,14,2
mork,4,0
moonshine,2,0
jesse,43,36
hog,6,4
reynolds,25,36
ores,1,0
seann,10,0
brien,16,16
ebay,8,12
purchase,18,25
ivanna,12,0
dalmar,4,0
maid,21,17
arrival,10,26
eventful,4,3
drugged,11,5
unconsciousness,3,0
nightly,3,2
disregards,1,2
dour,13,7
chump,1,2
sillier,2,5
disfigured,6,7
igor,18,3
warns,9,15
consequences,18,44
deter,2,4
comforts,2,7
rapist,19,18
torturer,1,0
nightmarish,6,21
ivana,1,0
illogically,2,0
sledgehammer,6,1
retromedia,3,0
curtains,6,6
soup,13,16
adds,34,136
oddness,5,2
sneak,18,12
competes,3,1
thre,2,0
unending,3,3
tempted,25,11
crowning,5,6
crank,7,6
brobdingnagian,1,0
amis,3,1
decadence,6,4
patchy,9,1
embody,4,1
vaunted,2,0
pretentiousness,11,2
terrorist,39,25
ooh,4,2
grate,3,6
favours,11,3
katy,2,0
carmichael,2,0
bloodsucker,3,0
babes,13,7
lesbo,1,0
rome,17,20
adriatic,1,0
madperson,1,0
floodlights,1,0
sic,4,4
eroticism,4,13
rizzo,3,17
thirteen,13,6
fallback,1,1
instant,17,32
schoolboys,3,0
trampy,1,0
roscoe,5,7
hogg,7,0
cooter,1,0
enos,2,0
sleepaway,14,0
obeys,1,0
wardrobes,1,2
sniffs,3,2
armpits,1,0
punished,9,6
operations,10,4
reinvent,3,2
umm,8,2
counselors,3,0
mare,7,3
apology,4,3
discrepancies,1,1
autonomous,1,0
campus,20,14
fields,23,15
otherworldly,3,5
minium,1,0
taut,5,19
engrossing,6,26
litany,3,0
perversion,10,7
inclusive,1,4
desensitized,4,1
puritanical,2,2
humorless,5,4
dragging,14,5
cozy,5,7
vicarious,2,0
sadism,8,3
ranking,1,7
rl,1,0
stine,1,0
goosebumps,1,1
metro,4,9
gearhead,2,0
magazines,12,13
tier,6,4
braintrust,1,0
greenlights,1,0
breathe,7,14
woooooosaaaaaah,1,0
twentyfive,1,0
demographic,11,5
leach,1,0
misunderstand,2,3
float,10,4
gearheads,1,0
revved,1,0
junkyard,5,5
earthly,5,0
fury,30,8
coin,7,2
coins,3,4
alleged,14,7
retrace,1,0
ithought,1,0
shorter,17,21
infants,3,1
devoured,3,4
outlandish,9,14
kansas,10,27
olathe,1,0
ks,2,1
slang,3,5
definition,21,18
statements,16,13
dissatisfied,2,4
unfulfilled,5,7
difficulty,8,22
unkempt,3,2
drastically,10,12
insufficient,6,3
irregardless,1,0
deserving,14,22
paquin,9,6
dichotomy,2,4
emerging,9,7
bravo,7,29
teased,6,2
bursting,7,8
outlets,2,0
hmmm,19,6
ishtar,9,3
staying,29,19
repercussions,2,4
flemish,8,0
moroccon,1,0
belgian,4,6
antwerp,8,4
romeo,15,23
juliet,11,22
supposing,1,0
loach,6,6
extremist,5,2
populations,2,2
cultures,9,17
belgium,9,5
sdries,1,0
dongenthis,1,0
breakup,3,3
pedophile,4,2
rory,2,8
culkin,10,8
tastelessly,3,0
smker,1,0
collete,2,1
hash,2,2
poorer,7,4
lou,53,20
channing,10,2
kober,12,0
psychic,31,18
extraordinaire,2,1
tess,6,15
tracy,20,49
griffith,25,44
resurrected,8,3
marguerite,1,0
arlen,3,0
superiors,5,16
denied,6,11
penetrate,6,2
ridding,2,0
kidnaps,12,7
preparing,11,16
mykelti,3,0
host,36,43
quips,5,4
protests,2,2
jay,36,42
bmoc,1,0
gretchen,3,19
moll,3,6
bedelia,1,0
steenburgen,2,0
blanche,6,1
dubois,1,0
katharine,1,2
shrew,4,2
inge,2,0
practicality,4,1
spur,3,5
diana,10,19
hyland,3,1
muslim,19,20
islamic,3,4
sided,15,6
espouses,1,1
anchor,10,5
surround,8,11
misinformation,7,1
islam,17,5
fundamentalists,2,1
percentage,9,6
radicalized,1,0
fundamentalist,8,1
explore,18,39
muslims,15,8
saudi,1,1
bangladesh,1,1
indonesia,5,2
qur,2,0
